N,SUNSPOT_COUNTS,SUNSPOT_COUNTS
1368,57.9,57.9
1369,57.2,57.2
1370,59.1,59.1
1371,58.0,58.0
1372,57.2,57.2
1373,53.6,53.6
1374,50.2,50.2
1375,49.0,49.0
1376,45.2,45.2
1377,45.1,45.1
1378,44.0,44.0
1379,44.0,44.0
1380,44.8,44.8
1381,44.0,44.0
1382,44.0,44.0
1383,43.6,43.6
1384,42.5,42.5
1385,43.9,43.9
1386,45.7,45.7
1387,46.3,46.3
1388,46.8,46.8
1389,46.3,46.3
1390,48.0,48.0
1391,47.0,47.0
1392,46.2,46.2
1393,45.6,45.6
1394,43.3,43.3
1395,42.8,42.8
1396,42.3,42.3
1397,40.3,40.3
1398,37.9,37.9
1399,36.5,36.5
1400,35.9,35.9
1401,34.5,34.5
1402,31.8,31.8
1403,30.5,30.5
1404,29.1,29.1
1405,29.0,29.0
1406,27.7,27.7
1407,26.8,26.8
1408,25.0,25.0
1409,23.5,23.5
1410,22.1,22.1
1411,20.0,20.0
1412,18.8,18.8
1413,18.5,18.5
1414,17.2,17.2
1415,16.3,16.3
1416,13.7,13.7
1417,10.5,10.5
1418,9.2,9.2
1419,8.2,8.2
1420,7.4,7.4
1421,6.1,6.1
1422,5.8,5.8
1423,5.1,5.1
1424,5.3,5.3
1425,5.3,5.3
1426,5.3,5.3
1427,7.3,7.3
1428,8.6,8.6
1429,9.8,9.8
1430,11.3,11.3
1431,13.9,13.9
1432,15.9,15.9
1433,18.3,18.3
1434,20.3,20.3
1435,22.8,22.8
1436,25.6,25.6
1437,29.6,29.6
1438,33.8,33.8
1439,37.3,37.3
1440,41.1,41.1
1441,44.7,44.7
1442,46.9,46.9
1443,47.2,47.2
1444,53.7,53.7
1445,60.1,60.1
1446,62.7,62.7
1447,66.4,66.4
1448,69.5,69.5
1449,69.3,69.3
1450,70.8,70.8
1451,73.9,73.9
1452,75.3,75.3
1453,79.9,79.9
1454,88.8,88.8
1455,98.7,98.7
1456,104.7,104.7
1457,107.0,107.0
1458,113.1,113.1
1459,119.3,119.3
1460,123.9,123.9
1461,131.1,131.1
1462,137.0,137.0
1463,139.1,139.1
1464,140.0,140.0
1465,140.9,140.9
1466,139.5,139.5
1467,139.7,139.7
1468,137.2,137.2
1469,133.5,133.5
1470,131.1,131.1
1471,127.4,127.4
1472,122.8,122.8
1473,118.0,118.0
1474,114.5,114.5
1475,111.2,111.2
1476,110.5,110.5
1477,110.0,110.0
1478,105.5,105.5
1479,100.4,100.4
1480,97.3,97.3
1481,98.8,98.8
1482,99.0,99.0
1483,97.6,97.6
1484,100.4,100.4
1485,101.7,101.7
1486,102.2,102.2
1487,101.7,101.7
1488,102.3,102.3
1489,101.2,101.2
1490,102.0,102.0
1491,99.8,99.8
1492,94.9,94.9
1493,89.4,89.4
1494,86.2,86.2
1495,84.2,84.2
1496,78.6,78.6
1497,73.9,73.9
1498,69.2,69.2
1499,66.3,66.3
1500,64.1,64.1
1501,60.6,60.6
1502,56.2,56.2
1503,52.6,52.6
1504,52.3,52.3
1505,51.7,51.7
1506,51.8,51.8
1507,51.2,51.2
1508,49.6,49.6
1509,48.5,48.5
1510,46.3,46.3
1511,44.7,44.7
1512,40.8,40.8
1513,37.3,37.3
1514,36.3,36.3
1515,36.0,36.0
1516,33.3,33.3
1517,32.1,32.1
1518,27.5,27.5
1519,23.6,23.6
1520,21.4,21.4
1521,19.6,19.6
1522,18.7,18.7
1523,17.1,17.1
1524,17.1,17.1
1525,16.5,16.5
1526,16.2,16.2
1527,14.0,14.0
1528,13.5,13.5
1529,11.6,11.6
1530,11.8,11.8
1531,11.4,11.4
1532,12.0,12.0
1533,12.1,12.1
1534,11.5,11.5
1535,11.3,11.3
1536,12.2,12.2
1537,11.6,11.6
1538,10.0,10.0
1539,11.1,11.1
1540,12.5,12.5
1541,13.5,13.5
1542,12.7,12.7
1543,12.5,12.5
1544,13.0,13.0
1545,12.4,12.4
1546,12.8,12.8
1547,12.3,12.3
1548,10.5,10.5
1549,10.3,10.3
1550,10.0,10.0
1551,8.7,8.7
1552,7.4,7.4
1553,6.8,6.8
1554,6.3,6.3
1555,5.8,5.8
1556,4.9,4.9
1557,4.4,4.4
1558,3.5,3.5
1559,3.4,3.4
1560,3.2,3.2
1561,2.7,2.7
1562,2.1,2.1
1563,2.6,2.6
1564,2.3,2.3
1565,2.2,2.2
1566,2.8,2.8
1567,3.7,3.7
1568,3.7,3.7
1569,4.7,4.7
1570,5.4,5.4
1571,6.0,6.0
1572,7.9,7.9
1573,10.1,10.1
1574,11.8,11.8
1575,12.9,12.9
1576,14.6,14.6
1577,17.1,17.1
1578,18.3,18.3
1579,21.4,21.4
1580,26.4,26.4
1581,28.9,28.9
1582,30.4,30.4
1583,32.3,32.3
1584,33.3,33.3
1585,35.4,35.4
1586,38.1,38.1
1587,40.8,40.8
1588,42.5,42.5
1589,44.7,44.7
1590,49.3,49.3
1591,50.1,50.1
1592,49.0,49.0
1593,50.8,50.8
1594,52.8,52.8
1595,54.3,54.3
1596,55.0,55.0
1597,56.3,56.3
1598,57.6,57.6
1599,61.3,61.3
1600,63.0,63.0
1601,61.8,61.8
1602,59.1,59.1
1603,57.7,57.7
1604,58.0,58.0
1605,57.6,57.6
1606,60.1,60.1
1607,59.7,59.7
1608,61.0,61.0
1609,59.1,59.1
1610,57.0,57.0
1611,55.9,55.9
1612,53.2,53.2
1613,55.8,55.8
1614,58.8,58.8
1615,59.2,59.2
1616,58.8,58.8
1617,60.9,60.9
1618,60.9,60.9
1619,63.7,63.7
1620,66.3,66.3
1621,69.6,69.6
1622,73.3,73.3
1623,72.8,72.8
1624,75.6,75.6
1625,73.5,73.5
1626,71.2,71.2
1627,72.1,72.1
1628,72.8,72.8
1629,69.8,69.8
1630,65.8,65.8
1631,63.5,63.5
1632,59.4,59.4
1633,58.1,58.1
1634,55.1,55.1
1635,53.3,53.3
1636,53.8,53.8
1637,56.5,56.5
1638,57.7,57.7
1639,57.2,57.2
1640,55.3,55.3
1641,54.6,54.6
1642,54.3,54.3
1643,52.2,52.2
1644,51.1,51.1
1645,47.3,47.3
1646,47.9,47.9
1647,46.9,46.9
1648,43.4,43.4
1649,38.7,38.7
1650,35.7,35.7
1651,32.9,32.9
1652,31.4,31.4
1653,28.9,28.9
1654,26.2,26.2
1655,25.4,25.4
1656,23.7,23.7
1657,22.7,22.7
1658,18.3,18.3
1659,15.2,15.2
1660,14.3,14.3
1661,13.4,13.4
1662,12.8,12.8
1663,13.1,13.1
1664,12.0,12.0
1665,11.8,11.8
1666,12.4,12.4
1667,13.1,13.1
1668,13.3,13.3
1669,12.7,12.7
1670,13.0,13.0
1671,12.9,12.9
1672,11.8,11.8
1673,11.1,11.1
1674,9.4,9.4
1675,7.9,7.9
1676,8.0,8.0
1677,7.6,7.6
1678,7.9,7.9
1679,6.8,6.8
1680,5.8,5.8
1681,5.9,5.9
1682,5.8,5.8
1683,5.7,5.7
1684,5.4,5.4
1685,5.3,5.3
1686,5.9,5.9
1687,7.3,7.3
1688,7.1,7.1
1689,7.1,7.1
1690,6.3,6.3
1691,6.3,6.3
1692,6.6,6.6
1693,6.0,6.0
1694,5.8,5.8
1695,5.6,5.6
1696,5.8,5.8
1697,5.4,5.4
1698,5.5,5.5
1699,4.5,4.5
1700,5.4,5.4
1701,6.2,6.2
1702,7.0,7.0
1703,7.1,7.1
1704,7.7,7.7
1705,9.5,9.5
1706,10.0,10.0
1707,11.6,11.6
1708,14.6,14.6
1709,18.5,18.5
1710,22.4,22.4
1711,24.5,24.5
1712,27.5,27.5
1713,30.9,30.9
1714,33.6,33.6
1715,35.6,35.6
1716,40.3,40.3
1717,44.7,44.7
1718,48.0,48.0
1719,52.1,52.1
1720,55.3,55.3
1721,57.6,57.6
1722,59.1,59.1
1723,64.8,64.8
1724,65.6,65.6
1725,67.2,67.2
1726,69.1,69.1
1727,73.0,73.0
1728,73.5,73.5
1729,73.2,73.2
1730,74.6,74.6
1731,76.1,76.1
1732,76.5,76.5
1733,77.5,77.5
1734,78.5,78.5
1735,80.8,80.8
1736,82.1,82.1
1737,82.9,82.9
1738,83.7,83.7
1739,84.9,84.9
1740,85.6,85.6
1741,86.6,86.6
1742,85.5,85.5
1743,84.9,84.9
1744,86.3,86.3
1745,87.2,87.2
1746,88.6,88.6
1747,83.7,83.7
1748,82.7,82.7
1749,82.4,82.4
1750,80.8,80.8
1751,78.0,78.0
1752,76.4,76.4
1753,74.9,74.9
1754,75.6,75.6
1755,75.2,75.2
1756,72.4,72.4
1757,70.1,70.1
1758,65.3,65.3
1759,65.2,65.2
1760,64.5,64.5
1761,63.9,63.9
1762,63.1,63.1
1763,64.0,64.0
1764,61.1,61.1
1765,60.3,60.3
1766,59.5,59.5
1767,56.8,56.8
1768,53.5,53.5
1769,51.6,51.6
1770,51.4,51.4
1771,47.9,47.9
1772,48.2,48.2
1773,44.9,44.9
1774,44.1,44.1
1775,41.8,41.8
1776,42.8,42.8
1777,40.4,40.4
1778,38.5,38.5
1779,37.4,37.4
1780,36.8,36.8
1781,33.7,33.7
1782,32.2,32.2
1783,31.8,31.8
1784,30.7,30.7
1785,29.5,29.5
1786,27.0,27.0
1787,26.2,26.2
1788,25.4,25.4
1789,26.0,26.0
1790,26.7,26.7
1791,25.4,25.4
1792,25.8,25.8
1793,26.8,26.8
1794,25.2,25.2
1795,26.0,26.0
1796,24.9,24.9
1797,26.6,26.6
1798,28.4,28.4
1799,26.7,26.7
1800,25.8,25.8
1801,23.6,23.6
1802,21.9,21.9
1803,21.9,21.9
1804,20.3,20.3
1805,20.2,20.2
1806,20.6,20.6
1807,18.2,18.2
1808,16.0,16.0
1809,14.2,14.2
1810,12.3,12.3
1811,12.1,12.1
1812,11.3,11.3
1813,11.6,11.6
1814,10.8,10.8
1815,11.0,11.0
1816,11.6,11.6
1817,10.9,10.9
1818,10.5,10.5
1819,10.6,10.6
1820,10.6,10.6
1821,10.6,10.6
1822,10.3,10.3
1823,9.5,9.5
1824,8.7,8.7
1825,7.8,7.8
1826,7.4,7.4
1827,6.1,6.1
1828,5.7,5.7
1829,5.1,5.1
1830,4.5,4.5
1831,4.2,4.2
1832,3.6,3.6
1833,2.8,2.8
1834,2.8,2.8
1835,2.7,2.7
1836,3.2,3.2
1837,3.0,3.0
1838,3.6,3.6
1839,3.6,3.6
1840,3.0,3.0
1841,2.6,2.6
1842,2.7,2.7
1843,2.8,2.8
1844,3.3,3.3
1845,4.4,4.4
1846,4.9,4.9
1847,5.0,5.0
1848,5.3,5.3
1849,6.7,6.7
1850,6.8,6.8
1851,9.0,9.0
1852,10.0,10.0
1853,11.2,11.2
1854,13.4,13.4
1855,15.7,15.7
1856,15.9,15.9
1857,17.8,17.8
1858,20.7,20.7
1859,24.4,24.4
1860,26.3,26.3
1861,27.0,27.0
1862,28.9,28.9
1863,30.3,30.3
1864,32.4,32.4
1865,34.5,34.5
1866,36.4,36.4
1867,38.9,38.9
1868,40.5,40.5
1869,41.7,41.7
1870,41.2,41.2
1871,42.0,42.0
1872,43.9,43.9
1873,49.0,49.0
1874,50.6,50.6
1875,50.3,50.3
1876,51.0,51.0
1877,51.6,51.6
1878,53.5,53.5
1879,53.5,53.5
1880,55.6,55.6
1881,57.6,57.6
1882,63.4,63.4
1883,63.5,63.5
1884,62.7,62.7
1885,58.2,58.2
1886,58.8,58.8
1887,60.2,60.2
1888,61.0,61.0
1889,62.1,62.1
1890,64.7,64.7
1891,63.8,63.8
1892,63.9,63.9
1893,58.8,58.8
1894,53.1,53.1
1895,53.9,53.9
1896,56.4,56.4
1897,62.8,62.8
1898,62.5,62.5
1899,62.3,62.3
1900,61.1,61.1
1901,59.2,59.2
1902,54.7,54.7
1903,55.2,55.2
1904,57.6,57.6
1905,61.6,61.6
1906,63.5,63.5
1907,62.0,62.0
1908,58.9,58.9
1909,52.7,52.7
1910,50.1,50.1
1911,50.5,50.5
1912,50.3,50.3
1913,51.0,51.0
1914,50.1,50.1
1915,53.1,53.1
1916,53.3,53.3
1917,50.5,50.5
1918,49.2,49.2
1919,48.5,48.5
1920,50.0,50.0
1921,51.1,51.1
1922,54.2,54.2
1923,52.1,52.1
1924,51.7,51.7
1925,49.6,49.6
1926,49.3,49.3
1927,43.6,43.6
1928,39.6,39.6
1929,41.8,41.8
1930,42.7,42.7
1931,43.9,43.9
1932,41.4,41.4
1933,40.1,40.1
1934,36.4,36.4
1935,34.4,34.4
1936,33.2,33.2
1937,32.4,32.4
1938,30.6,30.6
1939,29.6,29.6
1940,28.5,28.5
1941,26.9,26.9
1942,22.6,22.6
1943,18.6,18.6
1944,16.7,16.7
1945,14.8,14.8
1946,13.7,13.7
1947,14.3,14.3
1948,13.2,13.2
1949,12.4,12.4
1950,11.5,11.5
1951,10.9,10.9
1952,9.0,9.0
1953,6.1,6.1
1954,6.0,6.0
1955,5.7,5.7
1956,5.4,5.4
1957,4.7,4.7
1958,4.5,4.5
1959,3.5,3.5
1960,3.1,3.1
1961,3.2,3.2
1962,3.2,3.2
1963,2.9,2.9
1964,3.3,3.3
1965,3.5,3.5
1966,3.2,3.2
1967,3.6,3.6
1968,3.8,3.8
1969,4.0,4.0
1970,3.6,3.6
1971,3.3,3.3
1972,3.0,3.0
1973,2.6,2.6
1974,2.5,2.5
1975,2.5,2.5
1976,1.8,1.8
1977,1.7,1.7
1978,1.7,1.7
1979,1.4,1.4
1980,1.5,1.5
1981,1.5,1.5
1982,1.7,1.7
1983,3.0,3.0
1984,3.5,3.5
1985,4.4,4.4
1986,4.7,4.7
1987,5.4,5.4
1988,6.3,6.3
1989,6.7,6.7
1990,8.1,8.1
1991,9.6,9.6
1992,11.3,11.3
1993,14.6,14.6
1994,17.6,17.6
1995,19.6,19.6
1996,21.9,21.9
1997,26.7,26.7
1998,32.2,32.2
1999,37.3,37.3
2000,40.4,40.4
2001,44.2,44.2
2002,46.4,46.4
2003,47.4,47.4
2004,49.2,49.2
2005,50.3,50.3
2006,52.7,52.7
2007,55.2,55.2
2008,58.7,58.7
2009,58.6,58.6
2010,57.1,57.1
2011,54.2,54.2
2012,53.8,53.8
2013,53.6,53.6
2014,55.5,55.5
2015,57.1,57.1
2016,59.5,59.5
2017,60.9,60.9
2018,63.2,63.2
2019,63.5,63.5
2020,66.8,66.8
2021,70.7,70.7
2022,76.2,76.2
2023,86.2,86.2
2024,93.2,93.2
2025,95.0,95.0
2026,97.5,97.5
2027,103.9,103.9
2028,105.7,105.7
2029,105.1,105.1
2030,103.2,103.2
2031,103.7,103.7
2032,100.6,100.6
2033,96.0,96.0
2034,95.0,95.0
2035,90.6,90.6
2036,86.4,86.4
2037,87.5,87.5
2038,86.4,86.4
2039,80.6,80.6
2040,76.6,76.6
2041,77.8,77.8
2042,77.3,77.3
2043,74.9,74.9
2044,75.9,75.9
2045,80.2,80.2
2046,76.6,76.6
2047,73.9,73.9
2048,71.8,71.8
2049,69.1,69.1
2050,65.6,65.6
2051,63.6,63.6
2052,63.9,63.9
2053,61.7,61.7
2054,62.0,62.0
2055,59.0,59.0
2056,54.4,54.4
2057,48.3,48.3
2058,45.2,45.2
2059,41.1,41.1
2060,39.6,39.6
2061,39.3,39.3
2062,38.1,38.1
2063,37.6,37.6
2064,36.0,36.0
2065,33.9,33.9
2066,30.3,30.3
2067,31.7,31.7
2068,30.8,30.8
2069,30.4,30.4
2070,31.6,31.6
2071,31.9,31.9
2072,30.3,30.3
2073,27.7,27.7
2074,26.9,26.9
2075,26.1,26.1
2076,24.5,24.5
2077,24.3,24.3
2078,26.7,26.7
2079,24.9,24.9
2080,23.7,23.7
2081,21.4,21.4
2082,18.8,18.8
2083,17.4,17.4
2084,16.3,16.3
2085,15.3,15.3
2086,14.5,14.5
2087,14.2,14.2
2088,13.6,13.6
2089,11.6,11.6
2090,7.3,7.3
2091,6.9,6.9
2092,6.5,6.5
2093,6.7,6.7
2094,6.1,6.1
2095,5.6,5.6
2096,6.3,6.3
2097,6.8,6.8
2098,7.0,7.0
2099,5.8,5.8
2100,5.4,5.4
2101,5.7,5.7
2102,5.6,5.6
2103,6.1,6.1
2104,7.5,7.5
2105,8.8,8.8
2106,10.8,10.8
2107,12.4,12.4
2108,13.4,13.4
2109,14.5,14.5
2110,15.6,15.6
2111,16.7,16.7
2112,17.1,17.1
2113,18.6,18.6
2114,20.0,20.0
2115,21.7,21.7
2116,23.5,23.5
2117,25.5,25.5
2118,26.4,26.4
2119,27.9,27.9
2120,30.8,30.8
2121,34.5,34.5
2122,37.5,37.5
2123,44.3,44.3
2124,49.8,49.8
2125,53.7,53.7
2126,57.4,57.4
2127,58.0,58.0
2128,59.8,59.8
2129,62.0,62.0
2130,63.1,63.1
2131,65.1,65.1
2132,65.1,65.1
2133,65.3,65.3
2134,65.5,65.5
2135,63.9,63.9
2136,64.7,64.7
2137,66.6,66.6
2138,67.2,67.2
2139,71.8,71.8
2140,73.0,73.0
2141,71.8,71.8
2142,72.1,72.1
2143,71.4,71.4
2144,72.0,72.0
2145,71.3,71.3
2146,71.9,71.9
2147,69.0,69.0
2148,69.2,69.2
2149,67.6,67.6
2150,68.9,68.9
2151,67.8,67.8
2152,67.6,67.6
2153,70.3,70.3
2154,73.9,73.9
2155,76.4,76.4
2156,78.2,78.2
2157,78.1,78.1
2158,76.6,76.6
2159,77.8,77.8
2160,76.6,76.6
2161,75.8,75.8
2162,72.9,72.9
2163,70.5,70.5
2164,69.0,69.0
2165,67.4,67.4
2166,65.0,65.0
2167,63.5,63.5
2168,58.9,58.9
2169,58.3,58.3
2170,60.9,60.9
2171,65.0,65.0
2172,64.7,64.7
2173,63.4,63.4
2174,62.2,62.2
2175,60.9,60.9
2176,59.2,59.2
2177,55.6,55.6
2178,51.5,51.5
2179,48.1,48.1
2180,47.9,47.9
2181,46.3,46.3
2182,42.5,42.5
2183,35.7,35.7
2184,31.4,31.4
2185,30.9,30.9
2186,30.5,30.5
2187,29.9,29.9
2188,28.9,28.9
2189,27.8,27.8
2190,27.4,27.4
2191,26.4,26.4
2192,25.3,25.3
2193,23.3,23.3
2194,21.9,21.9
2195,21.2,21.2
2196,21.0,21.0
2197,18.3,18.3
2198,16.7,16.7
2199,15.1,15.1
2200,14.5,14.5
2201,15.1,15.1
2202,14.4,14.4
2203,13.9,13.9
2204,12.7,12.7
2205,12.6,12.6
2206,11.7,11.7
2207,11.1,11.1
2208,11.2,11.2
2209,12.1,12.1
2210,12.0,12.0
2211,11.3,11.3
2212,10.1,10.1
2213,8.7,8.7
2214,8.1,8.1
2215,7.6,7.6
2216,7.7,7.7
2217,7.2,7.2
2218,6.6,6.6
2219,5.7,5.7
2220,4.9,4.9
2221,3.7,3.7
2222,3.2,3.2
2223,3.9,3.9
2224,5.3,5.3
2225,5.4,5.4
2226,6.0,6.0
2227,6.7,6.7
2228,6.6,6.6
2229,6.8,6.8
2230,7.5,7.5
2231,8.7,8.7
2232,10.0,10.0
2233,11.1,11.1
2234,12.6,12.6
2235,12.7,12.7
2236,13.3,13.3
2237,16.6,16.6
2238,18.6,18.6
2239,20.5,20.5
2240,23.6,23.6
2241,27.6,27.6
2242,32.2,32.2
2243,36.1,36.1
2244,39.7,39.7
2245,44.2,44.2
2246,48.7,48.7
2247,53.9,53.9
2248,56.2,56.2
2249,58.2,58.2
2250,59.8,59.8
2251,64.5,64.5
2252,67.3,67.3
2253,70.3,70.3
2254,74.6,74.6
2255,79.7,79.7
2256,85.5,85.5
2257,90.1,90.1
2258,90.6,90.6
2259,93.5,93.5
2260,98.7,98.7
2261,103.7,103.7
2262,111.4,111.4
2263,115.7,115.7
2264,117.7,117.7
2265,120.7,120.7
2266,117.3,117.3
2267,114.4,114.4
2268,111.6,111.6
2269,110.8,110.8
2270,111.0,111.0
2271,110.3,110.3
2272,111.2,111.2
2273,108.5,108.5
2274,110.2,110.2
2275,108.3,108.3
2276,107.4,107.4
2277,105.2,105.2
2278,109.2,109.2
2279,109.6,109.6
2280,108.0,108.0
2281,104.6,104.6
2282,102.7,102.7
2283,103.4,103.4
2284,102.7,102.7
2285,102.9,102.9
2286,97.3,97.3
2287,96.5,96.5
2288,98.4,98.4
2289,97.5,97.5
2290,93.0,93.0
2291,88.8,88.8
2292,86.3,86.3
2293,84.8,84.8
2294,86.3,86.3
2295,82.3,82.3
2296,77.0,77.0
2297,75.5,75.5
2298,73.0,73.0
2299,73.0,73.0
2300,69.2,69.2
2301,66.4,66.4
2302,65.6,65.6
2303,67.8,67.8
2304,67.4,67.4
2305,66.1,66.1
2306,63.1,63.1
2307,60.7,60.7
2308,58.7,58.7
2309,56.7,56.7
2310,56.6,56.6
2311,52.8,52.8
2312,52.8,52.8
2313,52.0,52.0
2314,50.4,50.4
2315,47.5,47.5
2316,46.6,46.6
2317,47.3,47.3
2318,48.0,48.0
2319,50.3,50.3
2320,49.9,49.9
2321,45.9,45.9
2322,41.8,41.8
2323,38.5,38.5
2324,34.4,34.4
2325,32.2,32.2
2326,31.5,31.5
2327,30.6,30.6
2328,28.7,28.7
2329,26.7,26.7
2330,24.4,24.4
2331,21.6,21.6
2332,20.7,20.7
2333,20.3,20.3
2334,20.0,20.0
2335,19.9,19.9
2336,19.3,19.3
2337,18.3,18.3
2338,16.6,16.6
2339,16.3,16.3
2340,15.6,15.6
2341,13.2,13.2
2342,11.9,11.9
2343,9.7,9.7
2344,8.8,8.8
2345,8.5,8.5
2346,7.9,7.9
2347,7.6,7.6
2348,8.0,8.0
2349,8.7,8.7
2350,8.8,8.8
2351,9.6,9.6
2352,10.8,10.8
2353,11.8,11.8
2354,12.7,12.7
2355,15.4,15.4
2356,17.7,17.7
2357,20.3,20.3
2358,23.4,23.4
2359,24.2,24.2
2360,25.9,25.9
2361,30.2,30.2
2362,33.2,33.2
2363,33.1,33.1
2364,35.5,35.5
2365,41.6,41.6
2366,46.2,46.2
2367,49.9,49.9
2368,54.4,54.4
2369,57.5,57.5
2370,63.6,63.6
2371,70.4,70.4
2372,75.4,75.4
2373,78.2,78.2
2374,84.7,84.7
2375,92.5,92.5
2376,98.2,98.2
2377,100.5,100.5
2378,104.9,104.9
2379,111.1,111.1
2380,120.8,120.8
2381,128.3,128.3
2382,131.8,131.8
2383,138.6,138.6
2384,144.8,144.8
2385,149.9,149.9
2386,150.3,150.3
2387,149.8,149.8
2388,149.2,149.2
2389,147.0,147.0
2390,144.1,144.1
2391,147.4,147.4
2392,145.1,145.1
2393,145.4,145.4
2394,144.1,144.1
2395,141.5,141.5
2396,139.4,139.4
2397,137.1,137.1
2398,134.4,134.4
2399,136.2,136.2
2400,137.1,137.1
2401,145.1,145.1
2402,150.3,150.3
2403,146.8,146.8
2404,141.1,141.1
2405,137.3,137.3
2406,135.9,135.9
2407,133.1,133.1
2408,133.2,133.2
2409,132.8,132.8
2410,136.8,136.8
2411,135.1,135.1
2412,133.7,133.7
2413,126.4,126.4
2414,122.4,122.4
2415,119.6,119.6
2416,119.6,119.6
2417,116.4,116.4
2418,113.5,113.5
2419,110.3,110.3
2420,102.5,102.5
2421,96.6,96.6
2422,89.2,89.2
2423,83.9,83.9
2424,80.5,80.5
2425,77.5,77.5
2426,73.4,73.4
2427,71.7,71.7
2428,71.9,71.9
2429,73.3,73.3
2430,70.8,70.8
2431,68.8,68.8
2432,71.5,71.5
2433,70.7,70.7
2434,70.5,70.5
2435,69.8,69.8
2436,68.2,68.2
2437,65.1,65.1
2438,61.9,61.9
2439,56.6,56.6
2440,49.5,49.5
2441,44.1,44.1
2442,42.3,42.3
2443,41.8,41.8
2444,37.2,37.2
2445,34.9,34.9
2446,32.4,32.4
2447,31.4,31.4
2448,30.2,30.2
2449,28.7,28.7
2450,27.7,27.7
2451,27.6,27.6
2452,26.6,26.6
2453,25.4,25.4
2454,22.9,22.9
2455,20.3,20.3
2456,19.5,19.5
2457,18.2,18.2
2458,16.5,16.5
2459,13.9,13.9
2460,11.7,11.7
2461,11.4,11.4
2462,11.5,11.5
2463,9.3,9.3
2464,8.3,8.3
2465,6.5,6.5
2466,6.2,6.2
2467,4.9,4.9
2468,3.5,3.5
2469,3.4,3.4
2470,4.0,4.0
2471,4.4,4.4
2472,6.3,6.3
2473,8.0,8.0
2474,7.5,7.5
2475,8.3,8.3
2476,10.6,10.6
2477,13.3,13.3
2478,15.1,15.1
2479,17.8,17.8
2480,21.2,21.2
2481,25.5,25.5
2482,32.2,32.2
2483,38.0,38.0
2484,42.2,42.2
2485,50.8,50.8
2486,60.2,60.2
2487,68.5,68.5
2488,77.5,77.5
2489,84.6,84.6
2490,93.1,93.1
2491,103.8,103.8
2492,114.7,114.7
2493,122.8,122.8
2494,132.1,132.1
2495,141.7,141.7
2496,149.3,149.3
2497,149.8,149.8
2498,153.1,153.1
2499,158.5,158.5
2500,160.8,160.8
2501,167.8,167.8
2502,172.7,172.7
2503,171.7,171.7
2504,176.9,176.9
2505,185.1,185.1
2506,185.9,185.9
2507,189.9,189.9
2508,193.0,193.0
2509,195.9,195.9
2510,198.6,198.6
2511,200.4,200.4
2512,201.3,201.3
2513,198.8,198.8
2514,199.2,199.2
2515,202.7,202.7
2516,199.8,199.8
2517,193.8,193.8
2518,188.9,188.9
2519,184.6,184.6
2520,185.8,185.8
2521,184.0,184.0
2522,183.6,183.6
2523,180.9,180.9
2524,180.6,180.6
2525,180.4,180.4
2526,176.9,176.9
2527,176.8,176.8
2528,172.2,172.2
2529,166.3,166.3
2530,164.0,164.0
2531,158.8,158.8
2532,152.8,152.8
2533,149.7,149.7
2534,142.8,142.8
2535,139.3,139.3
2536,135.0,135.0
2537,130.1,130.1
2538,127.8,127.8
2539,122.3,122.3
2540,120.8,120.8
2541,118.4,118.4
2542,115.6,115.6
2543,112.3,112.3
2544,104.9,104.9
2545,99.9,99.9
2546,95.8,95.8
2547,90.8,90.8
2548,85.1,85.1
2549,82.3,82.3
2550,78.0,78.0
2551,71.5,71.5
2552,66.2,66.2
2553,62.5,62.5
2554,57.7,57.7
2555,53.9,53.9
2556,52.3,52.3
2557,52.7,52.7
2558,52.0,52.0
2559,50.8,50.8
2560,50.2,50.2
2561,47.2,47.2
2562,43.2,43.2
2563,40.4,40.4
2564,39.3,39.3
2565,39.5,39.5
2566,39.0,39.0
2567,37.6,37.6
2568,36.0,36.0
2569,33.9,33.9
2570,31.5,31.5
2571,30.1,30.1
2572,30.0,30.0
2573,29.5,29.5
2574,29.3,29.3
2575,30.3,30.3
2576,29.2,29.2
2577,28.9,28.9
2578,28.6,28.6
2579,27.9,27.9
2580,27.5,27.5
2581,27.0,27.0
2582,26.9,26.9
2583,25.2,25.2
2584,22.4,22.4
2585,20.2,20.2
2586,18.8,18.8
2587,16.8,16.8
2588,14.0,14.0
2589,11.5,11.5
2590,10.2,10.2
2591,10.2,10.2
2592,10.4,10.4
2593,10.1,10.1
2594,9.7,9.7
2595,9.5,9.5
2596,10.8,10.8
2597,11.3,11.3
2598,12.1,12.1
2599,12.0,12.0
2600,13.0,13.0
2601,14.2,14.2
2602,14.9,14.9
2603,15.1,15.1
2604,16.0,16.0
2605,16.8,16.8
2606,17.9,17.9
2607,21.4,21.4
2608,23.2,23.2
2609,25.8,25.8
2610,29.6,29.6
2611,33.1,33.1
2612,35.9,35.9
2613,39.0,39.0
2614,42.4,42.4
2615,46.9,46.9
2616,53.8,53.8
2617,59.5,59.5
2618,66.7,66.7
2619,68.5,68.5
2620,71.9,71.9
2621,73.5,73.5
2622,76.4,76.4
2623,81.1,81.1
2624,83.3,83.3
2625,85.9,85.9
2626,89.0,89.0
2627,93.7,93.7
2628,94.6,94.6
2629,96.1,96.1
2630,94.5,94.5
2631,95.4,95.4
2632,98.8,98.8
2633,102.4,102.4
2634,102.8,102.8
2635,103.0,103.0
2636,106.3,106.3
2637,108.0,108.0
